2020-03-29 05:42:37:111 1011 sec: 13973 operations; 13.9 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=139, Max=146047, Min=4536, Avg=72014.58, 90=125183, 99=141951, 99.9=146047, 99.99=146047] 
2020-03-29 05:42:47:111 1021 sec: 14100 operations; 12.7 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=127, Max=163071, Min=4416, Avg=78101.23, 90=133631, 99=151039, 99.9=163071, 99.99=163071] 
2020-03-29 05:42:57:111 1031 sec: 14238 operations; 13.8 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=138, Max=150783, Min=4428, Avg=72737.91, 90=128191, 99=150783, 99.9=150783, 99.99=150783] 
2020-03-29 05:43:07:111 1041 sec: 14370 operations; 13.2 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=132, Max=158335, Min=4528, Avg=75919.32, 90=129343, 99=151423, 99.9=158335, 99.99=158335] 
2020-03-29 05:43:17:111 1051 sec: 14509 operations; 13.9 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=139, Max=147327, Min=4600, Avg=71332.33, 90=131583, 99=141951, 99.9=147327, 99.99=147327] 
2020-03-29 05:43:27:112 1061 sec: 14639 operations; 13 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=130, Max=151551, Min=4396, Avg=77071.38, 90=128959, 99=151423, 99.9=151551, 99.99=151551] 
2020-03-29 05:43:37:111 1071 sec: 14767 operations; 12.8 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=128, Max=146303, Min=4540, Avg=77915.39, 90=138111, 99=146175, 99.9=146303, 99.99=146303] 
2020-03-29 05:43:47:111 1081 sec: 14906 operations; 13.9 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=139, Max=150399, Min=4560, Avg=72279.32, 90=128127, 99=138879, 99.9=150399, 99.99=150399] 
2020-03-29 05:43:57:112 1091 sec: 15041 operations; 13.5 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=135, Max=151423, Min=4568, Avg=74361.66, 90=133119, 99=142463, 99.9=151423, 99.99=151423] 
2020-03-29 05:44:07:111 1101 sec: 15179 operations; 13.8 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=138, Max=151423, Min=4516, Avg=72193.14, 90=131967, 99=147071, 99.9=151423, 99.99=151423] 
