2020-03-29 02:08:05:250 782 sec: 15923 operations; 20.6 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=206, Max=107455, Min=4436, Avg=48559.31, 90=88639, 99=101375, 99.9=107455, 99.99=107455] 
2020-03-29 02:08:15:249 792 sec: 16127 operations; 20.4 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=204, Max=105087, Min=4384, Avg=48929.77, 90=83327, 99=99839, 99.9=105087, 99.99=105087] 
2020-03-29 02:08:25:250 802 sec: 16325 operations; 19.8 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=198, Max=104511, Min=4496, Avg=50293.44, 90=87295, 99=103679, 99.9=104511, 99.99=104511] 
2020-03-29 02:08:35:250 812 sec: 16542 operations; 21.7 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=217, Max=126271, Min=4340, Avg=46294.07, 90=87039, 99=99967, 99.9=126271, 99.99=126271] 
2020-03-29 02:08:45:250 822 sec: 16751 operations; 20.9 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=209, Max=105791, Min=4160, Avg=47633.54, 90=86015, 99=92799, 99.9=105791, 99.99=105791] 
2020-03-29 02:08:55:250 832 sec: 16957 operations; 20.6 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=206, Max=107071, Min=4584, Avg=48779.37, 90=87487, 99=100031, 99.9=107071, 99.99=107071] 
2020-03-29 02:09:05:250 842 sec: 17150 operations; 19.3 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=193, Max=107583, Min=4484, Avg=51576.53, 90=87743, 99=105215, 99.9=107583, 99.99=107583] 
2020-03-29 02:09:15:250 852 sec: 17346 operations; 19.6 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=196, Max=100735, Min=4404, Avg=50985.68, 90=87423, 99=99903, 99.9=100735, 99.99=100735] 
2020-03-29 02:09:25:250 862 sec: 17560 operations; 21.4 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=214, Max=104639, Min=4180, Avg=46849.19, 90=83391, 99=99775, 99.9=104639, 99.99=104639] 
2020-03-29 02:09:35:250 872 sec: 17769 operations; 20.9 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=209, Max=99071, Min=4108, Avg=47885.01, 90=85759, 99=92479, 99.9=99071, 99.99=99071] 
2020-03-29 02:09:45:250 882 sec: 17964 operations; 19.5 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=195, Max=107391, Min=4492, Avg=51182.45, 90=87615, 99=105535, 99.9=107391, 99.99=107391] 
2020-03-29 02:09:55:250 892 sec: 18167 operations; 20.3 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=203, Max=103807, Min=4160, Avg=49210.29, 90=87423, 99=92543, 99.9=103807, 99.99=103807] 
2020-03-29 02:10:05:250 902 sec: 18379 operations; 21.2 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=212, Max=104703, Min=4476, Avg=47059.42, 90=87359, 99=104063, 99.9=104703, 99.99=104703] 
2020-03-29 02:10:15:250 912 sec: 18587 operations; 20.8 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=208, Max=107519, Min=4412, Avg=48272, 90=85311, 99=103231, 99.9=107519, 99.99=107519] 
2020-03-29 02:10:25:250 922 sec: 18793 operations; 20.6 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=206, Max=107007, Min=4500, Avg=48504.91, 90=82879, 99=92415, 99.9=107007, 99.99=107007] 
2020-03-29 02:10:35:250 932 sec: 19004 operations; 21.1 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=211, Max=112511, Min=4424, Avg=47375.7, 90=83647, 99=99583, 99.9=112511, 99.99=112511] 
2020-03-29 02:10:45:250 942 sec: 19210 operations; 20.6 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=206, Max=105471, Min=4508, Avg=48611.47, 90=83135, 99=92671, 99.9=105471, 99.99=105471] 
2020-03-29 02:10:55:250 952 sec: 19409 operations; 19.9 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=199, Max=102655, Min=4180, Avg=49908.88, 90=86847, 99=99647, 99.9=102655, 99.99=102655] 
2020-03-29 02:11:05:250 962 sec: 19626 operations; 21.7 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=217, Max=95231, Min=4112, Avg=46278.98, 90=75775, 99=92095, 99.9=95231, 99.99=95231] 
2020-03-29 02:11:15:250 972 sec: 19834 operations; 20.8 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=208, Max=103743, Min=4364, Avg=48117.11, 90=86463, 99=100031, 99.9=103743, 99.99=103743] 
2020-03-29 02:11:25:250 982 sec: 20020 operations; 18.6 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=186, Max=115327, Min=4564, Avg=53689.05, 90=92159, 99=103231, 99.9=115327, 99.99=115327] 
2020-03-29 02:11:35:250 992 sec: 20229 operations; 20.9 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=209, Max=107775, Min=4148, Avg=47745.92, 90=87231, 99=104767, 99.9=107775, 99.99=107775] 
2020-03-29 02:11:45:250 1002 sec: 20421 operations; 19.2 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=192, Max=101375, Min=4448, Avg=52015.02, 90=86975, 99=95999, 99.9=101375, 99.99=101375] 
2020-03-29 02:11:55:250 1012 sec: 20629 operations; 20.8 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=208, Max=108095, Min=4564, Avg=48252.3, 90=87615, 99=102463, 99.9=108095, 99.99=108095] 
2020-03-29 02:12:05:250 1022 sec: 20829 operations; 20 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=200, Max=95935, Min=4100, Avg=49729.1, 90=87103, 99=92159, 99.9=95935, 99.99=95935] 
2020-03-29 02:12:15:250 1032 sec: 21019 operations; 19 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=190, Max=105919, Min=4472, Avg=52505.96, 90=87615, 99=100223, 99.9=105919, 99.99=105919] 
2020-03-29 02:12:25:252 1042 sec: 21228 operations; 20.9 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=209, Max=100159, Min=4520, Avg=47957.09, 90=82367, 99=92799, 99.9=100159, 99.99=100159] 
2020-03-29 02:12:35:250 1052 sec: 21416 operations; 18.8 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=188, Max=104575, Min=4572, Avg=53410.52, 90=87679, 99=101183, 99.9=104575, 99.99=104575] 
2020-03-29 02:12:45:250 1062 sec: 21609 operations; 19.3 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=193, Max=107583, Min=4512, Avg=51815.99, 90=87807, 99=104895, 99.9=107583, 99.99=107583] 
2020-03-29 02:12:55:250 1072 sec: 21824 operations; 21.5 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=215, Max=117631, Min=4074, Avg=46224.76, 90=85439, 99=105151, 99.9=117631, 99.99=117631] 
2020-03-29 02:13:05:250 1082 sec: 22020 operations; 19.6 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=196, Max=107711, Min=4444, Avg=51141.95, 90=87423, 99=99199, 99.9=107711, 99.99=107711] 
2020-03-29 02:13:15:250 1092 sec: 22235 operations; 21.5 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=215, Max=93503, Min=4564, Avg=46480.82, 90=84735, 99=92543, 99.9=93503, 99.99=93503] 
2020-03-29 02:13:25:250 1102 sec: 22440 operations; 20.5 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=205, Max=104639, Min=4408, Avg=48668.85, 90=84287, 99=92735, 99.9=104639, 99.99=104639] 
2020-03-29 02:13:35:250 1112 sec: 22652 operations; 21.2 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=212, Max=100159, Min=4136, Avg=47200.53, 90=83263, 99=98751, 99.9=100159, 99.99=100159] 
